"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"GEORKE'S CORNER, INC","True North #862","N11221 STATE RD. 45","ELCHO","WI","54428","LANGLADE","TOWN of ELCHO","Michelle Knox","2026-06-30","2025-07-01","50","1","0","0","1","0",
"GEORGE'S LOUNGE INC","GEORGE'S LOUNGE","W428 BLUFF SIDING RD","FOUNTAIN CITY","WI","54629","BUFFALO","TOWN of BUFFALO","TIM R. PRONSCHINSKE","2026-06-30","2025-07-13","5","1","0","0","1","0",
"GEORGE'S CLUB HIGHVIEW, INC","GEORGE'S CLUB HIGHVIEW","5305 60TH ST ","KENOSHA","WI","53144","KENOSHA","CITY of KENOSHA","DANNY GERVAIS","2027-06-30","2026-06-25","100","1","1","1","1","0",
"GENZIE'S GAMEDAY PUB","GENZIE'S GAMEDAY PUB LLC","1101 SAINT ANDREW ST","LA CROSSE","WI","54603","LA CROSSE","CITY of LA CROSSE","DUANE EARL GENZ","2026-06-30","2025-09-26","100","1","0","0","1","0",
"GENTLEMAN JACK'S INC","GENTLEMAN JACK'S","431 GRAND AVE","LITTLE CHUTE","WI","54140","OUTAGAMIE","VILLAGE of LITTLE CHUTE","LORI ANIOL","2026-06-30","2025-07-10","25","1","0","0","1","0",
"GENOA LIQUORS, INC.","GENOA LIQUORS, INC.","413 WALWORTH ST.","GENOA CITY","WI","53128","WALWORTH","VILLAGE of GENOA CITY","MOOS, BARBARA L","2026-06-30","2025-07-14","100","1","0","0","1","0",
"GENOA CITY TRAVEL CENTER LLC","GENOA CITY TRAVEL CENTER","229 SOUTH ROAD","GENOA CITY","WI","53128","WALWORTH","VILLAGE of GENOA CITY","CHRISTINE BAUER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"GENOA CITY BP OPERATING CORP. ","BP","100 ELIZABETH LANE","GENOA CITY","WI","53128","WALWORTH","VILLAGE of GENOA CITY","SCHWARTZ, JUDITH ANN","2026-06-30","2025-07-14","100","1","1","1","1","0",
"General Merchandise Liquidators INC","SUPER VIDEO II","5049 S Pennsylvania Ave","CUDAHY","WI","53110","MILWAUKEE","CITY of CUDAHY","BEN BISHOP","2026-06-30","2025-07-23","100","0","1","1","1","0",
"GENERAL BUILDERS LLC","BUOY'S GENERAL STORE","1018 STATE HIGHWAY 32","THREE LAKES","WI","54562","ONEIDA","TOWN of THREE LAKES","Mark Riggsby","2026-06-30","2025-06-30","25","1","1","1","1","0",
"GENE'S OF BELOIT","GENE'S SERVICE","958  BROOKS STREET","BELOIT","WI","53511","ROCK","CITY of BELOIT","CLIFFORD L BENNINGTON","2026-06-30","2025-07-23","100","1","0","0","1","0",
"GEMPELER'S SUPERMARKET LLC","GEMPELER'S SUPERMARKET","219 N MAIN ST","MONTICELLO","WI","53570","GREEN","VILLAGE of MONTICELLO","Constance Von Der Heide","2026-06-30","2025-07-09","50","1","1","1","1","0",
"GEEBO LLC","SOMERS HOUSE","1548 SHERIDAN ROAD","KENOSHA","WI","53140","KENOSHA","VILLAGE of SOMERS","PETER GOCHIS","2027-06-30","2026-06-17","100","1","1","0","1","0",
"GDATA, INC","FALLS CLARK","N85W16198 APPLETON AVE.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","PAL, SUKHWINDER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"GCS OPERATIONS LLC","STADIUM SHELL","1221 LOMBARDI ACCESS","ASHWAUBENON","WI","54304","BROWN","VILLAGE of ASHWAUBENON","JACOB ANDERSON","2026-06-30","2026-03-27","100","1","1","1","1","0",
"GB MINI MART LLC","STOCKBRIDGE MINI MART","335 N. MILITARY RD.","STOCKBRIDGE","WI","53088","CALUMET","VILLAGE of STOCKBRIDGE","BUDDI S. SUBEDI","2026-06-30","2025-07-08","20","1","1","1","1","0",
"GAVKAN PETRO INC","VILLARD FOOD MART","5168-70 N 76TH ST","MILWAUKEE","WI","53218","MILWAUKEE","CITY of MILWAUKEE","SIDHU, MALWINDER S, AGENT","2026-03-17","2025-07-15","100","1","1","1","1","0",
"GAUTHIER'S YE OLE SALOON LLC","YE OLE SALOON","320 CEDAR ST","TIGERTON","WI","54486","SHAWANO","VILLAGE of TIGERTON","","2026-06-30","2025-07-11","50","1","1","1","1","0",
"GAURI GANESH, INC.","MAIN STREET AMOCO","1013 MAIN STREET","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","Nirav Patel","2026-06-30","2025-10-07","100","1","1","1","1","0",
"GAURI GANESH, INC.","MAIN STREET AMOCO","1013 MAIN STREET","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","Nirav Patel","2026-06-30","2025-10-07","100","1","1","1","1","0",
"GATOR PORTS LLC","BLEYS BAR","6549 COUNTY T","EGG HARBOR","WI","54209","DOOR","TOWN of JACKSONPORT","","2026-06-30","2025-07-08","20","1","1","1","1","0",
"GATEWAY LODGE & RESORT LLC","GATEWAY LODGE","4695N POPKO CIRCLE WEST","MERCER","WI","54547","IRON","TOWN of MERCER","Melissa Riebe","2026-06-30","2025-07-16","10","1","1","0","1","0",
"GATEWAY GRAFTON LLC","GATEWAY MOBIL","2601 WASHINGTON STREET","GRAFTON","WI","53024","OZAUKEE","VILLAGE of GRAFTON","Dhaval Patel","2027-06-30","2026-06-17","100","1","1","1","1","0",
"GATEWAY EXPRESS LLC","GATEWAY MART","4072 COUNTY ROAD B","LAND O LAKES","WI","54540","VILAS","TOWN of LAND O LAKES","MAHENDRA BASNET","2026-06-30","2025-07-15","10","1","1","1","1","0",
"GAS PLUS, LLC","HIGHWAY 151 AMOCO","N5789 CTH D","FOND DU LAC","WI","54937","FOND DU LAC","TOWN of FOND DU LAC","RAJBIR KAUR","2027-06-30","2026-06-15","50","1","1","1","1","0",
"GAS N GO ENTERPRISES, INC.","GAS N GO ENTERPRISES, INC.","1545 W HOPKINS ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","GILL, SANDEEP S, AGENT","2025-09-18","2025-07-15","100","1","1","1","1","0",
"GAS N GO ENTERPRISES, INC.","GAS N GO ENTERPRISES, INC.","1909 W HOPKINS ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","GILL, SANDEEP S, AGENT","2026-01-31","2025-07-15","100","1","1","0","1","0",
"GAS LIGHT LLC","GAS LITE BAR AND GRILL","W8945 HWY 10","ELLSWORTH","WI","54011","PIERCE","TOWN of TRIMBELLE","JAMES JOHN ORICCHIO","2026-06-30","2025-06-21","5","1","0","0","1","0",
"GAS AND GO LLC","GAS AND GO","304 E STATE ST","MAUSTON","WI","53948","JUNEAU","CITY of MAUSTON","NAVTEJ SINGH","2026-06-30","2025-07-10","50","1","1","1","1","0",
"GARY'S CORPORATION OF OAK CREEK","GARY'S BEER & LIQUOR","9555 S. HOWELL AVE. #200","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","GARY HINTZ","2026-06-30","2025-07-11","100","1","1","1","1","0",
"GARY J JANKE","STATION 2 LLC","108 TIELKY STREET","BEAR CREEK","WI","54922","OUTAGAMIE","VILLAGE of BEAR CREEK","","2027-06-30","2026-06-09"," 50.00","1","0","1","1","0",
"GARY FOOD MART LLC","GOLDEN NORTHTOWN FOOD","4402 N 27TH ST","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","SINGH, GURPREET, AGENT","2025-11-25","2025-07-15","100","1","1","0","1","0",
"GARY B HUMMELT","COAL MINER'S BAR","1024-26 MAIN ST","UNION GROVE","WI","53182","RACINE","VILLAGE of UNION GROVE","GARY HUMMELT","2027-06-30","2026-06-23","100","1","1","0","1","0",
"GARRETT ROTTENZ PREMIUM E-LIQUID","SPEAKEAZY VAPOR SHOP","N5698 850TH ST","ELK MOUND","WI","54739","DUNN","TOWN of ELK MOUND","","2027-06-30","2026-06-23","95","1","1","1","1","0",
"GARMISCH INN LLC","GARMISCH USA","23040 GARMISCH RD","CABLE","WI","54821","BAYFIELD","TOWN of NAMAKAGON","DENNIS HOWARD","2026-06-30","2025-07-14","10","1","1","0","1","0",
"GARGARIA LLC","GOODSPOT FOODS","2201 W NATIONAL AV","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","SINGH, JASWINDER, AGENT","2026-03-19","2025-07-15","100","1","1","1","1","0",
"GANESH FOODS, INC","BAY SIDE MART","156 ELKHORN RD","WILLIAMS BAY","WI","53191","WALWORTH","VILLAGE of WILLIAMS BAY","ARPITA PATEL","2026-06-30","2025-06-18","100","1","1","1","1","0",
"GANESH ENTERPRISES INC.","REID ST MOBIL STATION","401 REID ST.","DE PERE","WI","54115","BROWN","CITY of DE PERE","PATEL, PRADIP A.","2026-06-30","2025-07-21","100","1","1","1","1","0",
"GANDAKI MART LLC","FAST FUEL MART","102 N 3RD AVE","WAUSAU","WI","54401","MARATHON","CITY of WAUSAU","SURESH SUBEDI","2026-06-30","2025-07-11","100","1","1","1","1","0",
"GANDAKI MART LLC","GANDAKI MART","1205 MERRILL AVE","WAUSAU","WI","54401","MARATHON","CITY of WAUSAU","SURESH  SUBEDI","2026-06-30","2025-07-11","100","1","1","1","1","0",
"GANDAKI MART 1 LLC","GANDAKI MART 1","802 E WAUSAU AVE","WAUSAU","WI","54403","MARATHON","CITY of WAUSAU","SURESH  SUBEDI","2026-06-30","2025-07-11","100","1","1","1","1","0",
"GANDAKI MARKETING LLC","GOOD TO GO MENASHA","2005 S. ONEIDA STREET","APPLETON","WI","54915","WINNEBAGO","VILLAGE of FOX CROSSING","REGMI, TUK P.","2026-06-30","2025-07-07","100","1","1","1","1","0",
"GALLO CIGARS","GALLO CIGARS","9626 113TH STREET","PLEASANT PRAIRIE","WI","53158","KENOSHA","VILLAGE of PLEASANT PRAIRIE","PATRICK GALLO","2026-06-30","2025-06-23","100","0","1","0","1","0",
"GALESVILLE STORE LLC","GALESVILLE MART","17544 N MAIN STREET","GALESVILLE","WI","54630","TREMPEALEAU","CITY of GALESVILLE","Manoj Chib","2027-06-30","2026-06-17","5","1","1","1","1","0",
"GALESVILLE FOOD BANK, INC.","RANDY'S NEIGHBORHOOD MARKET GALESVILLE","17512 NORTH MAIN STREET","GALESVILLE","WI","54630","TREMPEALEAU","CITY of GALESVILLE","HEATHER HEINEMAN","2027-06-30","2026-06-17","5","1","1","0","1","0",
"GALENA STREET FOOD & LIQUOR LLC","GALENA STREET FOODS","1556 N 33RD ST","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","JACKSON, KELLY J, AGENT","2025-09-24","2025-07-15","100","1","1","0","1","0",
"GALATI GROUP LLC","URBAN CLOUD FACTORY","772 W MAIN ST STE 102","LAKE GENEVA","WI","53147","WALWORTH","CITY of LAKE GENEVA","RONALD R STOCKING","2026-06-30","2026-02-16","100","0","1","1","1","0",
"GAJJAR CORPORATION","VILLAGER FOOD MART","6845 W Layton Ave","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","ASHOK KUMAR GAJJAR","2026-06-30","2025-07-23","100","1","1","0","1","0",
"GAIL HERRMANN","GAIL'S INN","13701 7TH STREET","OSSEO","WI","54758","TREMPEALEAU","CITY of OSSEO","GAIL HERRMANN","2027-06-30","2026-06-24"," 100.00","1","1","0","1","0",
"G.H.T. ENTERPRISES, LLC","HILLSBORO COUNTY MARKET","E18590 STATE HWY 33-80-82","HILLSBORO","WI","54634","VERNON","TOWN of HILLSBORO","ANDREW GORIUS","2026-06-30","2025-06-16","5","1","1","1","1","0",
"G'S POUR HOUSE LLC","THE POUR HOUSE","N5095 HEMLOCK ST","POYNETTE","WI","53955","COLUMBIA","TOWN of DEKORRA","GRETTA HAUN","2026-06-30","2025-07-15","25","1","1","1","1","0",
"G'S CELLAR DOOR INC.","CELLAR DOOR WINE BEER & LIQUOR","7944 SHERIDAN RD","KENOSHA","WI","53143","KENOSHA","CITY of KENOSHA","VIRINDER GILL","2027-06-30","2026-06-25","100","1","1","1","1","0",
"G & K DHILLON, LLC","G & K LIQUOR MART","1508 RAWSON AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","GURDIP S. DHILLON","2026-06-30","2025-07-03","100","1","1","1","1","0",
"G & G MGT, LLC","BROTHERS ON OAK","412 OAK STREET","BARABOO","WI","53913","SAUK","CITY of BARABOO","GARRETT ERICKSON","2026-06-30","2025-07-15","100","1","1","1","1","0",
"FUSION SMOKE & SPIRITS, LLC","FUSION","36 S BASSETT ST","MADISON","WI","53703","DANE","CITY of MADISON","JACOB D MCROBERTS","2025-06-30","2026-04-16","100","1","1","1","1","0",
"FUSION LIQUOR LLC","FUSION LIQUOR","323 N WALES ROAD, UNIT GF","WALES","WI","53183","WAUKESHA","VILLAGE of WALES","Xiu Ying Liu","2027-06-30","2026-06-10","75","1","0","0","1","0",
"FUNNY FARM BAR & GRILL","FUNNY FARM 2.0","4198 COUNTY ROAD X NORTH","MOSINEE","WI","54455","PORTAGE","TOWN of DEWEY","Robert Hallas ","2027-06-30","2026-06-25"," 15.00","0","0","1","1","0",
"FUNKY MONKEY BEACH BAR LLC","FUNKY MONKEY BEACH BAR LLC","W9070 CROOKED LAKE DR","CASCADE","WI","53011","SHEBOYGAN","TOWN of SCOTT","Anna Riebe","2026-06-30","2025-07-08","25","1","0","0","1","0",
"FUN IN THE SUN INC","FUN IN THE SUN INC","24447 CTY S","CADOTT","WI","54727","CHIPPEWA","TOWN of ARTHUR","WADE ASHER","2026-06-30","2025-07-11","60","1","1","1","1","0",
"FULTON GAS CO","BEER BARREL LIQUOR","1070 W FULTON ST","WAUPACA","WI","54981","WAUPACA","CITY of WAUPACA","SARABJIT KAUR","2027-06-30","2026-06-16","100","1","1","1","1","0",
"FUEL 'N FLAVOR","VALLECHA VENTURES LLC","520 W. Sunset Dr","Waukesha","WI","53189","WAUKESHA","CITY of WAUKESHA","SANJAY VALLECHA","2027-06-30","2026-06-10","100","1","0","0","1","0",
"FUCHSY'S CROSSROADS LLC","FUCHSY'S CROSSROADS","W5220 WHITTLESEY AVE","MEDFORD","WI","54451","TAYLOR","TOWN of CHELSEA","","2026-06-30","2025-06-23","35","1","1","0","1","0",
"FST INC","DONOVANS REEF","611 RINK AVE","TWIN LAKES","WI","53181","KENOSHA","VILLAGE of TWIN LAKES","BARBARA ETERNO","2027-06-30","2026-06-23","100","1","0","0","1","0",
"FSA, LLC","SUSSEX CLARK","N64W23270 MAIN STREET","SUSSEX","WI","53089","WAUKESHA","VILLAGE of SUSSEX","FARAZ ANSAREE","2026-06-30","2025-06-30","100","1","1","1","1","0",
"FRONTIER BAR & CAMPGROUND INC","FRONTIER BAR & CAMPGROUNDS","11296 W US HWY 2","SAXON","WI","54559","IRON","TOWN of GURNEY","Bart Innes","2026-06-30","2025-07-01","5","1","1","0","1","0",
"FRIENDS AND NEIGHBORS COUNTRY STORE","FRIENDS AND NEIGHBORS COUNTRY STORE","6120 MILL ROAD","ARPIN","WI","54410","WOOD","VILLAGE of ARPIN","TAMMY HALVERSON","2027-06-30","2026-06-18","5","1","1","1","1","0",
"FRIENDLY BAR, INC.","FRIENDLY BAR & GRILL","312 MAIN ST","STAR PRARIE","WI","54026","ST CROIX","VILLAGE of STAR PRAIRIE","Natalie Peterson","2026-06-30","2025-07-05","100","1","1","0","1","0",
"FRESH FOOD MART 1 LLC","FRESH FOOD MART 1","2539 W GRANT ST","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","SINGH, NIRVAIL, AGENT","2025-10-14","2025-07-15","100","1","1","1","1","0",
"FRENCH SLOUGH PROPERTIES LLC","RIVER RATS","1311 LACRESCENT PLACE","LA CROSSE","WI","54603","LA CROSSE","TOWN of CAMPBELL","LACINDA GERKE EDWARDS","2027-06-30","2026-06-25","50","1","1","1","1","0",
"FREMONT BOATHOUSE PARTNERS LLC","THE BOATHOUSE","214 WOLF RIVER DR","FREMONT","WI","54940","WAUPACA","VILLAGE of FREMONT","Robert Schnettler","2026-06-30","2025-06-14","5.00","1","1","0","1","0",
"FREITAG FOOD CENTER INC","FREITAG FOOD CENTER","628 S MAIN ST","MONTELLO","WI","53949","MARQUETTE","CITY of MONTELLO","CHERYL FREITAG","2026-06-30","2025-06-25","40","1","1","1","1","0",
"FREEDOM VAPORS LLC","FREEDOM UNDERGROUND","1012 SOUTH EIGHTH STREET","MEDFORD","WI","54451","TAYLOR","CITY of MEDFORD","Conner Velmer","2026-06-30","2026-03-05","50","0","1","1","1","0",
"FREEDOM MINI MART INC.","FREEDOM MINI MART","N4012 COUNTY RD E","FREEDOM","WI","54913","OUTAGAMIE","TOWN of FREEDOM","HOLLY MEULEMANS","2026-06-30","2025-07-09","50","1","1","1","1","0",
"FREDERIC D&H INC","FREDERIC GROCERY","120 OAK STREET W.","FREDERIC","WI","54837","POLK","VILLAGE of FREDERIC","DAVID JOHNSON","2026-06-30","2025-06-18","25","1","1","1","1","0",
"FREDA INC","BERT'S BAR","3907 S LAKE DR","SAINT FRANCIS","WI","53235","MILWAUKEE","CITY of SAINT FRANCIS","PAUL FRENN","2026-06-30","2025-06-23","100","1","1","0","1","0",
"FRAZIER'S MERCANTILE LLC","FRAZIER'S MERCANTILE LLC","W9196 US HWY 8","CATAWBA","WI","54515","PRICE","VILLAGE of CATAWBA","Jerry Frazier","2026-06-30","2025-07-11","5.50","1","1","1","1","0",
"FRATERNAL ORDER OF EAGLES ","FRATERNAL ORDER OF EAGLES","216 SOUTH ROCK","VIROQUA","WI","54665","VERNON","CITY of VIROQUA","TODD JOHNSON","2026-06-30","2025-08-01","5","1","0","0","1","0",
"FRANSVILLE MARKET LLC","FRANSVILLE MARKET LLC","10616 NORTHWESTERN AVE","FRANKSVILLE","WI","53126","RACINE","VILLAGE of CALEDONIA","SUKHDEEP GARCHA","2026-06-30","2025-06-30","100","1","1","1","1","0",
"FRANNY K'S COUNTRY FOODS, LLC","FRANNY K'S COUNTRY FOODS, LLC","9225 E. MAIN STREET","SOLON SPRINGS","WI","54873","DOUGLAS","VILLAGE of SOLON SPRINGS","FRANCES YADON","2026-06-30","2026-02-24","5","1","0","0","1","0",
"FRANKSVILLE LIQUOR LLC","AYRA'S FRANKSVILLE LIQUOR","10502 NORTHWESTERN AVENUE","FRANKSVILLE","WI","53126","RACINE","VILLAGE of CALEDONIA","SACHIN PATEL","2026-06-30","2025-06-30","100","1","1","1","1","0",
"FRANKS POWER PLANT BV LLC","PATTI'S POWER PLANT","2800 S KINNICKINNIC AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","D'ACQUISTO, PATRICIA A, AGENT","2026-02-18","2025-07-15","100","1","1","1","1","0",
"FRANK KOSTLEVY","PLAIN SENSE, LLC","W12737 COUNTY ROAD M","CAROLINE","WI","54928","SHAWANO","TOWN of GRANT","JOANNE KOSTLEVY","2026-06-30","2025-10-18","5","1","1","0","1","0",
"FRANK HERRERA","DAWG HAUS SALOON","6495 CREAM CITY ROAD","OCONTO","WI","54153","OCONTO","TOWN of OCONTO","","2026-06-30","2026-05-17"," 0.00","1","0","0","1","0",
"FRANCOIS OIL CO. INC","THE STATION","128 W. MAIN ST","BELLEVILLE","WI","53508","DANE","VILLAGE of BELLEVILLE","Steven J Merry","2026-06-30","2025-08-08","100","1","1","1","1","0",
"FRANCOIS OIL CO INC","THE STATION","1002 S JACKSON ST","JANESVILLE","WI","53545","ROCK","CITY of JANESVILLE","STEVEN MERRY","2026-06-30","2025-07-16","100","1","1","1","1","0",
"FRAHMS LANDMARK BAR AND GRILL LLC","FRAHMS LANDMARK BAR AND GRILL LLC","117 ALFRED ST","ATHENS","WI","54411","MARATHON","VILLAGE of ATHENS","TODD FRAHM","2027-06-30","2026-05-20","25","1","1","0","1","0",
"Frahm's Last Straw LLC","Frahm's Last Straw LLC","118755 County Road L","Athens","WI","54411","MARATHON","TOWN of HALSEY","","2026-06-30","2026-03-01","25","1","1","1","1","0",
"FOX VALLEY GOLF CLUB","FOX VALLEY GOLF CLUB","W1759 COUNTYRD UU","FREEDOM","WI","54130","OUTAGAMIE","TOWN of FREEDOM","JASON HAACK","2026-06-30","2025-07-09","50.0","1","1","1","1","0",
"FOX TOBACCO AND VAPE INC","FOX TOBACCO AND VAPE","2413 ALLEN BLVD","MIDDLETON","WI","53562","DANE","CITY of MIDDLETON","MO ALTOWAYTI","2027-06-30","2026-06-18","100","0","1","1","1","0",
"FOX RIVER MART LLC","FOX RIVER MART #4","9025 W APPLETON AV","MILWAUKEE","WI","53225","MILWAUKEE","CITY of MILWAUKEE","REHMAN, ATIQ U, AGENT","2026-01-31","2025-07-15","100","1","1","1","1","0",
"FOX RETAIL, LLC","WAUTOMA MOBIL","613 W. MAIN ST. UNIT #1","WAUTOMA","WI","54982","WAUSHARA","CITY of WAUTOMA","BHUPIN TIWARI","2026-06-30","2025-07-01","100","1","1","1","1","0",
"FOX PETROLEUM CO., INC.","TREGO TRAVEL CENTER","W6741 CTY HWY E","TREGO","WI","54888","WASHBURN","TOWN of TREGO","JEFFERY R FOX","2027-06-30","2026-06-12","15","1","1","1","1","0",
"FOX BROTHERS PIGGLY WIGGLY, INC","FOX BROTHERS PIGGLY WIGGLY, INC","1566 E SUMNER ST","HARTFORD","WI","53027","WASHINGTON","CITY of HARTFORD","MICHAEL S OLWIG","2026-06-30","2025-07-07","55","1","1","1","1","0",
"FOX BROTHERS PIGGLY WIGGLY INC","PIGGLY WIGGLY SUPERMARKET #86","101 W. SEVEN HILLS RD","PORT WASHINGTON","WI","53074","OZAUKEE","CITY of PORT WASHINGTON","MICHAEL S. OLWIG","2027-06-30","2026-06-18","100","1","1","0","1","0",
"FOX BROTHERS PIGGLY WIGGLY INC","PIGGLY WIGGLY","1234 STATE ROAD 175","HUBERTUS","WI","53033","WASHINGTON","VILLAGE of RICHFIELD","MICHAEL OLWIG","2026-06-30","2025-07-29","65","1","1","1","1","0",
"FOX BROS. PIGGLY WIGGLY, INC.","FOX BROS. PIGGLY WIGGLY, INC.","810 E GREEN BAY AVE","SAUKVILLE","WI","53080","OZAUKEE","VILLAGE of SAUKVILLE","MICHAEL OLWIG","2026-06-30","2026-03-04","100","1","1","1","1","0",
"FOX BROS. PIGGLY WIGGLY INC.","FOX BROS. PIGGLY WIGGLY","1300 BROWN STREET","OCONOMOWOC","WI","53066","WAUKESHA","CITY of OCONOMOWOC","OLWIG, MICHAEL S","2026-06-30","2025-07-14","100","1","1","0","1","0",
"FOX BROS. PIGGLY WIGGLY INC","FOX BROS. PIGGLY WIGGLY","1100 E COMMERCE BLVD","SLINGER","WI","53086","WASHINGTON","VILLAGE of SLINGER","MICHAEL OLWIG","2027-06-30","2026-06-22","50","1","1","0","1","0",
"FOX BROS PIGGLY WIGGLY INC","PIGGLY WIGGLY SUPERMARKET 90","W194N16774 EAGLE DR","JACKSON","WI","53037","WASHINGTON","VILLAGE of JACKSON","MICHAEL S. OLWIG","2026-06-30","2025-07-14","65","1","1","1","1","0",
"FOX BROS PIGGLY WIGGLY INC","PIGGLY WIGGLY","505 COTTONWOOD AVE.","HARTLAND","WI","53029","WAUKESHA","VILLAGE of HARTLAND","MICHAEL OLWIG","2026-06-30","2025-07-02","100","1","1","1","1","0",
"FOX BROS PIGGLY WIGGLY INC","FOX BROS PIGGLY WIGGLY INC","2575 E. WASHINGTON STREET","WEST BEND","WI","53095","WASHINGTON","CITY of WEST BEND","MICHAEL OLWIG","2026-06-30","2025-07-14","0","1","1","0","1","0",
"FOX BROS PIGGLY WIGGLY INC","PIGGLY WIGGLY #82","1440 HORICON ST","MAYVILLE","WI","53050","DODGE","CITY of MAYVILLE","MICHAEL S OLWIG","2027-06-30","2026-06-22","100","1","1","1","1","0",
"FOX BROS PIGGLY WIGGLY","FOX BROS PIGGLY WIGGLY","810 PARK AVE.","BEAVER DAM","WI","53916","DODGE","CITY of BEAVER DAM","MICHAEL OLWIG","2026-06-30","2025-07-24","100","1","1","0","1","0",
"FOSTVEDT, LLC","FOSTBITES SPIRITS","118 DOUGLAS","CHETEK","WI","54728","BARRON","CITY of CHETEK","DAWN LANGMAN","2026-06-30","2025-07-15","50","1","1","1","1","0",
"Foster bar","Foster Bar","S12800 US Hwy 53","Osseo","WI","54758","EAU CLAIRE","TOWN of CLEAR CREEK","Shawn Holden","2026-06-30","2025-07-14","5","1","0","0","1","0",
"FORWARD ONE INC","CIGARETTE DEPOT","2701 N 76TH ST","MILWAUKEE","WI","53222","MILWAUKEE","CITY of MILWAUKEE","PATEL, YASH D, AGENT","2025-08-01","2025-07-15","100","1","1","0","1","0",
"FORTY-TWO FUEL COMPANY, LLC","FORTY-TWO FUEL COMPANY","12018 STATE HIGHWAY 42","SISTER BAY","WI","54234","DOOR","TOWN of LIBERTY GROVE","SHEILA GERSEK","2027-06-30","2026-06-23","50","1","1","1","1","0",
"FORTUNE INC","DISCOUNT SMOKES & SPIRITS","2111 E. RAWSON AVE.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","YASH PATEL","2026-06-30","2025-07-11","100","1","1","1","1","0",
"FORT ATKINSON, LLC","WISHING WELL RV RESORT","N551 WISHING WELL LANE","FORT ATKINSON ","WI","53538","JEFFERSON","TOWN of KOSHKONONG","Bodenschatz, Steve","2026-06-30","2026-02-12","100","1","1","0","1","0",
"FOREVER GREEN HEMP DISPENSARY LLC","FOREVER GREEN","126 W BLACKHAWK AVENUE"," PRAIRIE DU CHIEN","WI","53821","CRAWFORD","CITY of PRAIRIE DU CHIEN","BRUCE FRIEST","2026-06-30","2026-03-09","20","1","1","1","1","0",
"FORESTVILLE ONE STOP","MANGALASAINI FOOD MART LLC","111 N FORESTVILLE AVE","FORESTVILLE","WI","54213","DOOR","VILLAGE of FORESTVILLE","Thanda Timilsena","2026-06-30","2025-07-21","5","1","1","1","1","0",
"FOREST POINT RESORT INC","FOREST POINT RESORT INC","13702 CRYSTAL BEACH RD","GORDON","WI","54838","DOUGLAS","TOWN of GORDON","ANDREA BABCOCK","2027-06-30","2026-06-17","50","1","0","0","1","0",
"FOREST HOME AVENUE BP LLC","FOREST HOME AVENUE BP","9835 W. FOREST HOME AVE.","HALES CORNERS","WI","53130","MILWAUKEE","VILLAGE of HALES CORNERS","GOPAL SHRESTHA","2026-06-30","2026-02-26","100","1","1","1","1","0",
"FOREST COUNTY POTAWATOMI COMMUNITY","POTAWATOMI BINGO CASINO/ POTAWATOMI HOTEL","1611-1721 W CANAL ST","MILWAUKEE","WI","53233","MILWAUKEE","CITY of MILWAUKEE","WILZBACHER, JENNIFER M, AGENT","2025-11-08","2025-07-15","100","1","1","1","1","1",
"FORESIGHT INC.","NEXUS VAPE N CIGAR","934 E RAWSON AVE.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","KINJAL PAREKH","2026-06-30","2025-07-11","100","1","1","1","1","0",
"FOOLISH PLEASURE FIREHOUSE, LLC","FOOLISH PLEASURE FIREHOUSE","114 5TH AVE N","STRUM","WI","54770","TREMPEALEAU","VILLAGE of STRUM","JEREMY J SHERMO","2027-06-30","2026-06-11","50.00","1","1","1","1","0",
"FOODMEN 3, INC","UNIVERSITY AVENUE MARKET","2080 UNIVERSITY AV","GREEN BAY","WI","54302","BROWN","CITY of GREEN BAY","FASSBENDER, PAUL","2026-06-30","2025-07-09","100","1","1","0","1","0",
"FOOD BROS 2, INC.","WEBSTER AVENUE MARKET","1220 S WEBSTER AVENUE","GREEN BAY","WI","54301","BROWN","VILLAGE of ALLOUEZ","DAVID NOVAK","2027-06-30","2026-06-16"," 100.00","1","1","0","1","0",
